,make,model,year,fuel,hp,cylinders,trans,drive,doors,vsize,body,hwy_mpg,city_mpg,popularity,price,comb_mpg,log_hp,log_hwy_mpg,log_city_mpg,log_comb_mpg,log_popularity,log_price,ppp,mpg_ratio,mpg_per_hp
56,BMW,2 Series,2017,premium unleaded ,248,4,automatic,all wheel drive,2,Compact,Coupe,33,24,3916,35150,28.5,2.3944516808262164,1.5185139398778875,1.380211241711606,1.4548448600085102,3.5928426831311002,4.545925329355843,141.73387096774192,1.375,0.11491935483870967
57,BMW,2 Series,2017,premium unleaded ,248,4,automatic,all wheel drive,2,Compact,Convertible,33,23,3916,40950,28.0,2.3944516808262164,1.5185139398778875,1.3617278360175928,1.4471580313422192,3.5928426831311002,4.612253906096437,165.1209677419355,1.434782608695652,0.11290322580645161
64,Chrysler,200,2015,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,25170,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.400883215548363,136.79347826086956,1.565217391304348,0.16032608695652173
65,Chrysler,200,2015,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,23950,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.379305517750582,130.16304347826087,1.565217391304348,0.16032608695652173
66,Chrysler,200,2015,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,29,18,1013,29370,23.5,2.469822015978163,1.462397997898956,1.255272505103306,1.3710678622717363,3.0056094453602804,4.4679039465228,99.55932203389831,1.6111111111111112,0.07966101694915254
67,Chrysler,200,2015,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,21995,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.342323966312882,119.53804347826087,1.565217391304348,0.16032608695652173
68,Chrysler,200,2015,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,26625,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.425289616446794,144.70108695652175,1.565217391304348,0.16032608695652173
69,Chrysler,200,2015,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,29,18,1013,30825,23.5,2.469822015978163,1.462397997898956,1.255272505103306,1.3710678622717363,3.0056094453602804,4.488903085267769,104.49152542372882,1.6111111111111112,0.07966101694915254
70,Chrysler,200,2016,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,21995,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.342323966312882,119.53804347826087,1.565217391304348,0.16032608695652173
71,Chrysler,200,2016,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,27795,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.443966678374578,151.05978260869566,1.565217391304348,0.16032608695652173
72,Chrysler,200,2016,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,29,18,1013,31785,23.5,2.469822015978163,1.462397997898956,1.255272505103306,1.3710678622717363,3.0056094453602804,4.5022222157664755,107.7457627118644,1.6111111111111112,0.07966101694915254
73,Chrysler,200,2016,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,29,18,1013,29905,23.5,2.469822015978163,1.462397997898956,1.255272505103306,1.3710678622717363,3.0056094453602804,4.475743806748126,101.37288135593221,1.6111111111111112,0.07966101694915254
74,Chrysler,200,2016,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,22490,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.351989455435632,122.22826086956522,1.565217391304348,0.16032608695652173
75,Chrysler,200,2016,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,27570,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.4404367661057735,149.83695652173913,1.565217391304348,0.16032608695652173
76,Chrysler,200,2016,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,25690,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.409764104266346,139.6195652173913,1.565217391304348,0.16032608695652173
77,Chrysler,200,2016,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,24490,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.388988785124714,133.09782608695653,1.565217391304348,0.16032608695652173
78,Chrysler,200,2017,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,28,18,1013,29905,23.0,2.469822015978163,1.4471580313422192,1.255272505103306,1.3617278360175928,3.0056094453602804,4.475743806748126,101.37288135593221,1.5555555555555556,0.07796610169491526
79,Chrysler,200,2017,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,28,18,1013,31785,23.0,2.469822015978163,1.4471580313422192,1.255272505103306,1.3617278360175928,3.0056094453602804,4.5022222157664755,107.7457627118644,1.5555555555555556,0.07796610169491526
80,Chrysler,200,2017,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,26685,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.426267207139606,145.02717391304347,1.565217391304348,0.16032608695652173
81,Chrysler,200,2017,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,22490,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.351989455435632,122.22826086956522,1.565217391304348,0.16032608695652173
82,Chrysler,200,2017,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,25690,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.409764104266346,139.6195652173913,1.565217391304348,0.16032608695652173
83,Chrysler,200,2017,flex-fuel ,295,6,automatic,all wheel drive,4,Midsize,Sedan,28,18,1013,30900,23.0,2.469822015978163,1.4471580313422192,1.255272505103306,1.3617278360175928,3.0056094453602804,4.489958479424835,104.7457627118644,1.5555555555555556,0.07796610169491526
84,Chrysler,200,2017,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,27795,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.443966678374578,151.05978260869566,1.565217391304348,0.16032608695652173
85,Chrysler,200,2017,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,21995,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.342323966312882,119.53804347826087,1.565217391304348,0.16032608695652173
86,Chrysler,200,2017,flex-fuel ,184,4,automatic,front wheel drive,4,Midsize,Sedan,36,23,1013,24490,29.5,2.2648178230095364,1.5563025007672873,1.3617278360175928,1.469822015978163,3.0056094453602804,4.388988785124714,133.09782608695653,1.565217391304348,0.16032608695652173
112,Mazda,2,2012,regular unleaded,100,4,manual,front wheel drive,4,Compact,4dr Hatchback,35,29,586,16020,32.0,2.0,1.5440680443502757,1.462397997898956,1.505149978319906,2.767897616018091,4.204662511748219,160.2,1.206896551724138,0.32
113,Mazda,2,2012,regular unleaded,100,4,manual,front wheel drive,4,Compact,4dr Hatchback,35,29,586,14530,32.0,2.0,1.5440680443502757,1.462397997898956,1.505149978319906,2.767897616018091,4.162265614298022,145.3,1.206896551724138,0.32
114,Mazda,2,2012,regular unleaded,100,4,automatic,front wheel drive,4,Compact,4dr Hatchback,34,28,586,16860,31.0,2.0,1.5314789170422551,1.4471580313422192,1.4913616938342726,2.767897616018091,4.226857570288724,168.6,1.2142857142857142,0.31
115,Mazda,2,2012,regular unleaded,100,4,automatic,front wheel drive,4,Compact,4dr Hatchback,34,28,586,15370,31.0,2.0,1.5314789170422551,1.4471580313422192,1.4913616938342726,2.767897616018091,4.186673867499745,153.7,1.2142857142857142,0.31
116,Mazda,2,2013,regular unleaded,100,4,automatic,front wheel drive,4,Compact,4dr Hatchback,34,28,586,17050,31.0,2.0,1.5314789170422551,1.4471580313422192,1.4913616938342726,2.767897616018091,4.231724383328516,170.5,1.2142857142857142,0.31
117,Mazda,2,2013,regular unleaded,100,4,automatic,front wheel drive,4,Compact,4dr Hatchback,34,28,586,15560,31.0,2.0,1.5314789170422551,1.4471580313422192,1.4913616938342726,2.767897616018091,4.19200959265367,155.6,1.2142857142857142,0.31
118,Mazda,2,2013,regular unleaded,100,4,manual,front wheel drive,4,Compact,4dr Hatchback,35,29,586,16210,32.0,2.0,1.5440680443502757,1.462397997898956,1.505149978319906,2.767897616018091,4.209783014848515,162.1,1.206896551724138,0.32
119,Mazda,2,2013,regular unleaded,100,4,manual,front wheel drive,4,Compact,4dr Hatchback,35,29,586,14720,32.0,2.0,1.5440680443502757,1.462397997898956,1.505149978319906,2.767897616018091,4.16790781000148,147.2,1.206896551724138,0.32
120,Mazda,2,2014,regular unleaded,100,4,automatic,front wheel drive,4,Compact,4dr Hatchback,34,28,586,17050,31.0,2.0,1.5314789170422551,1.4471580313422192,1.4913616938342726,2.767897616018091,4.231724383328516,170.5,1.2142857142857142,0.31
121,Mazda,2,2014,regular unleaded,100,4,automatic,front wheel drive,4,Compact,4dr Hatchback,34,28,586,15560,31.0,2.0,1.5314789170422551,1.4471580313422192,1.4913616938342726,2.767897616018091,4.19200959265367,155.6,1.2142857142857142,0.31
122,Mazda,2,2014,regular unleaded,100,4,manual,front wheel drive,4,Compact,4dr Hatchback,35,29,586,16210,32.0,2.0,1.5440680443502757,1.462397997898956,1.505149978319906,2.767897616018091,4.209783014848515,162.1,1.206896551724138,0.32
123,Mazda,2,2014,regular unleaded,100,4,manual,front wheel drive,4,Compact,4dr Hatchback,35,29,586,14720,32.0,2.0,1.5440680443502757,1.462397997898956,1.505149978319906,2.767897616018091,4.16790781000148,147.2,1.206896551724138,0.32
124,BMW,3 Series Gran Turismo,2015,premium unleaded ,300,6,automatic,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916,47250,25.0,2.4771212547196626,1.4771212547196624,1.3010299956639813,1.3979400086720377,3.5928426831311002,4.674401812845281,157.5,1.5,0.08333333333333333
125,BMW,3 Series Gran Turismo,2015,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,4dr Hatchback,33,22,3916,41850,27.5,2.380211241711606,1.5185139398778875,1.3424226808222062,1.4393326938302626,3.5928426831311002,4.621695462329279,174.375,1.5,0.11458333333333333
126,BMW,3 Series Gran Turismo,2015,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,4dr Hatchback,33,22,3916,41850,27.5,2.380211241711606,1.5185139398778875,1.3424226808222062,1.4393326938302626,3.5928426831311002,4.621695462329279,174.375,1.5,0.11458333333333333
127,BMW,3 Series Gran Turismo,2016,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,4dr Hatchback,34,22,3916,43000,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.633468455579586,179.16666666666666,1.5454545454545454,0.11666666666666667
128,BMW,3 Series Gran Turismo,2016,premium unleaded ,300,6,automatic,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916,49200,25.0,2.4771212547196626,1.4771212547196624,1.3010299956639813,1.3979400086720377,3.5928426831311002,4.691965102767361,164.0,1.5,0.08333333333333333
129,BMW,3 Series Gran Turismo,2017,premium unleaded ,320,6,automatic,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916,49650,25.0,2.505149978319906,1.4771212547196624,1.3010299956639813,1.3979400086720377,3.5928426831311002,4.6959192528314,155.15625,1.5,0.078125
130,BMW,3 Series Gran Turismo,2017,premium unleaded ,248,4,automatic,all wheel drive,4,Midsize,4dr Hatchback,33,23,3916,43950,28.0,2.3944516808262164,1.5185139398778875,1.3617278360175928,1.4471580313422192,3.5928426831311002,4.6429588794097905,177.21774193548387,1.434782608695652,0.11290322580645161
131,BMW,3 Series,2015,premium unleaded ,241,4,automatic,all wheel drive,4,Midsize,Wagon,33,22,3916,41950,27.5,2.3820170425748683,1.5185139398778875,1.3424226808222062,1.4393326938302626,3.5928426831311002,4.622731965164719,174.06639004149378,1.5,0.11410788381742738
132,BMW,3 Series,2015,premium unleaded ,335,6,automatic,rear wheel drive,4,Midsize,Sedan,33,25,3916,50150,29.0,2.525044807036845,1.5185139398778875,1.3979400086720377,1.462397997898956,3.5928426831311002,4.700270937356437,149.70149253731344,1.32,0.08656716417910448
133,BMW,3 Series,2015,premium unleaded ,240,4,automatic,rear wheel drive,4,Midsize,Sedan,35,23,3916,37500,29.0,2.380211241711606,1.5440680443502757,1.3617278360175928,1.462397997898956,3.5928426831311002,4.574031267727719,156.25,1.5217391304347827,0.12083333333333333
134,BMW,3 Series,2015,premium unleaded ,300,6,automatic,rear wheel drive,4,Midsize,Sedan,32,21,3916,43750,26.5,2.4771212547196626,1.505149978319906,1.3222192947339193,1.423245873936808,3.5928426831311002,4.640978057358332,145.83333333333334,1.5238095238095237,0.08833333333333333
135,BMW,3 Series,2015,diesel,180,4,automatic,rear wheel drive,4,Midsize,Sedan,45,32,3916,39000,38.5,2.255272505103306,1.6532125137753437,1.505149978319906,1.5854607295085006,3.5928426831311002,4.5910646070264995,216.66666666666666,1.40625,0.21388888888888888
136,BMW,3 Series,2015,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,Sedan,33,22,3916,39500,27.5,2.380211241711606,1.5185139398778875,1.3424226808222062,1.4393326938302626,3.5928426831311002,4.596597095626461,164.58333333333334,1.5,0.11458333333333333
137,BMW,3 Series,2015,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,Sedan,33,22,3916,39500,27.5,2.380211241711606,1.5185139398778875,1.3424226808222062,1.4393326938302626,3.5928426831311002,4.596597095626461,164.58333333333334,1.5,0.11458333333333333
138,BMW,3 Series,2015,premium unleaded ,180,4,automatic,all wheel drive,4,Midsize,Sedan,35,23,3916,34950,29.0,2.255272505103306,1.5440680443502757,1.3617278360175928,1.462397997898956,3.5928426831311002,4.5434471800817,194.16666666666666,1.5217391304347827,0.16111111111111112
139,BMW,3 Series,2015,premium unleaded ,300,6,automatic,all wheel drive,4,Midsize,Sedan,30,20,3916,45750,25.0,2.4771212547196626,1.4771212547196624,1.3010299956639813,1.3979400086720377,3.5928426831311002,4.660391098402467,152.5,1.5,0.08333333333333333
140,BMW,3 Series,2015,diesel,180,4,automatic,all wheel drive,4,Midsize,Wagon,43,31,3916,43450,37.0,2.255272505103306,1.6334684555795864,1.4913616938342726,1.568201724066995,3.5928426831311002,4.637989780784685,241.38888888888889,1.3870967741935485,0.20555555555555555
141,BMW,3 Series,2015,premium unleaded ,240,4,automatic,rear wheel drive,4,Midsize,Sedan,35,23,3916,37500,29.0,2.380211241711606,1.5440680443502757,1.3617278360175928,1.462397997898956,3.5928426831311002,4.574031267727719,156.25,1.5217391304347827,0.12083333333333333
142,BMW,3 Series,2015,diesel,180,4,automatic,all wheel drive,4,Midsize,Sedan,43,31,3916,41000,37.0,2.255272505103306,1.6334684555795864,1.4913616938342726,1.568201724066995,3.5928426831311002,4.6127838567197355,227.77777777777777,1.3870967741935485,0.20555555555555555
143,BMW,3 Series,2015,premium unleaded ,180,4,automatic,rear wheel drive,4,Midsize,Sedan,36,24,3916,32950,30.0,2.255272505103306,1.5563025007672873,1.380211241711606,1.4771212547196624,3.5928426831311002,4.517855418930028,183.05555555555554,1.5,0.16666666666666666
144,BMW,3 Series,2016,diesel,180,4,automatic,all wheel drive,4,Midsize,Sedan,40,30,3916,41850,35.0,2.255272505103306,1.6020599913279623,1.4771212547196624,1.5440680443502757,3.5928426831311002,4.621695462329279,232.5,1.3333333333333333,0.19444444444444445
145,BMW,3 Series,2016,premium unleaded ,320,6,automatic,all wheel drive,4,Midsize,Sedan,33,22,3916,47800,27.5,2.505149978319906,1.5185139398778875,1.3424226808222062,1.4393326938302626,3.5928426831311002,4.679427896612119,149.375,1.5,0.0859375
146,BMW,3 Series,2016,diesel,180,4,automatic,rear wheel drive,4,Midsize,Sedan,42,32,3916,39850,37.0,2.255272505103306,1.6232492903979006,1.505149978319906,1.568201724066995,3.5928426831311002,4.600428325732131,221.38888888888889,1.3125,0.20555555555555555
147,BMW,3 Series,2016,premium unleaded ,240,4,automatic,rear wheel drive,4,Midsize,Sedan,34,22,3916,38350,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.5837653682849995,159.79166666666666,1.5454545454545454,0.11666666666666667
148,BMW,3 Series,2016,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,Sedan,34,22,3916,40350,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.605843539058089,168.125,1.5454545454545454,0.11666666666666667
149,BMW,3 Series,2016,premium unleaded ,240,4,manual,rear wheel drive,4,Midsize,Sedan,34,22,3916,38350,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.5837653682849995,159.79166666666666,1.5454545454545454,0.11666666666666667
150,BMW,3 Series,2016,premium unleaded ,240,4,automatic,all wheel drive,4,Midsize,Wagon,34,22,3916,42650,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.629919035503542,177.70833333333334,1.5454545454545454,0.11666666666666667
151,BMW,3 Series,2016,premium unleaded ,180,4,automatic,rear wheel drive,4,Midsize,Sedan,36,24,3916,33150,30.0,2.255272505103306,1.5563025007672873,1.380211241711606,1.4771212547196624,3.5928426831311002,4.5204835327407915,184.16666666666666,1.5,0.16666666666666666
152,BMW,3 Series,2016,premium unleaded ,180,4,automatic,all wheel drive,4,Midsize,Sedan,35,23,3916,35150,29.0,2.255272505103306,1.5440680443502757,1.3617278360175928,1.462397997898956,3.5928426831311002,4.545925329355843,195.27777777777777,1.5217391304347827,0.16111111111111112
